Farm ID,Crop,Yield,Hectares,Price,Harvest Date
F1001,Corn,3,2,16,2024-02-20
F1002,Sugarcane,4,3,17,2024-03-20
F1003,Coconut,5,4,18,2024-04-20
F1004,Rice,6,5,19,2024-05-20
F1005,Corn,7,6,20,2024-06-20
F1006,Sugarcane,8,1,21,2024-07-20
F1007,Coconut,9,2,22,2024-08-20
F1008,Rice,10,3,23,2024-09-20
F1009,Corn,2,4,24,2024-10-20
F1010,Sugarcane,3,5,25,2024-01-20
F1011,Coconut,4,6,26,2024-02-20
F1012,Rice,5,1,15,2024-03-20
F1013,Corn,6,2,16,2024-04-20
F1014,Sugarcane,7,3,17,2024-05-20
F1015,Coconut,8,4,18,2024-06-20
F1016,Rice,9,5,19,2024-07-20
F1017,Corn,10,6,20,2024-08-20
F1018,Sugarcane,2,1,21,2024-09-20
F1019,Coconut,3,2,22,2024-10-20
F1020,Rice,4,3,23,2024-01-20
F1021,Corn,5,4,24,2024-02-20
F1022,Sugarcane,6,5,25,2024-03-20
F1023,Coconut,7,6,26,2024-04-20
F1024,Rice,8,1,15,2024-05-20
F1025,Corn,9,2,16,2024-06-20
F1026,Sugarcane,10,3,17,2024-07-20
F1027,Coconut,2,4,18,2024-08-20
F1028,Rice,3,5,19,2024-09-20
F1029,Corn,4,6,20,2024-10-20
F1030,Sugarcane,5,1,21,2024-01-20
F1031,Coconut,6,2,22,2024-02-20
F1032,Rice,7,3,23,2024-03-20
F1033,Corn,8,4,24,2024-04-20
F1034,Sugarcane,9,5,25,2024-05-20
F1035,Coconut,10,6,26,2024-06-20
F1036,Rice,2,1,15,2024-07-20
F1037,Corn,3,2,16,2024-08-20
F1038,Sugarcane,4,3,17,2024-09-20
F1039,Coconut,5,4,18,2024-10-20
F1040,Rice,6,5,19,2024-01-20
F1041,Corn,7,6,20,2024-02-20
F1042,Sugarcane,8,1,21,2024-03-20
F1043,Coconut,9,2,22,2024-04-20
F1044,Rice,10,3,23,2024-05-20
F1045,Corn,2,4,24,2024-06-20
F1046,Sugarcane,3,5,25,2024-07-20
F1047,Coconut,4,6,26,2024-08-20
F1048,Rice,5,1,15,2024-09-20
F1049,Corn,6,2,16,2024-10-20
F1050,Sugarcane,7,3,17,2024-01-20
F1051,Coconut,8,4,18,2024-02-20
F1052,Rice,9,5,19,2024-03-20
F1053,Corn,10,6,20,2024-04-20
F1054,Sugarcane,2,1,21,2024-05-20
F1055,Coconut,3,2,22,2024-06-20
F1056,Rice,4,3,23,2024-07-20
F1057,Corn,5,4,24,2024-08-20
F1058,Sugarcane,6,5,25,2024-09-20
F1059,Coconut,7,6,26,2024-10-20
F1060,Rice,8,1,15,2024-01-20
F1061,Corn,9,2,16,2024-02-20
F1062,Sugarcane,10,3,17,2024-03-20
F1063,Coconut,2,4,18,2024-04-20
F1064,Rice,3,5,19,2024-05-20
F1065,Corn,4,6,20,2024-06-20
F1066,Sugarcane,5,1,21,2024-07-20
F1067,Coconut,6,2,22,2024-08-20
F1068,Rice,7,3,23,2024-09-20
F1069,Corn,8,4,24,2024-10-20
F1070,Sugarcane,9,5,25,2024-01-20
F1071,Coconut,10,6,26,2024-02-20
F1072,Rice,2,1,15,2024-03-20
F1073,Corn,3,2,16,2024-04-20
F1074,Sugarcane,4,3,17,2024-05-20
F1075,Coconut,5,4,18,2024-06-20
F1076,Rice,6,5,19,2024-07-20
F1077,Corn,7,6,20,2024-08-20
F1078,Sugarcane,8,1,21,2024-09-20
F1079,Coconut,9,2,22,2024-10-20
F1080,Rice,10,3,23,2024-01-20
F1081,Corn,2,4,24,2024-02-20
F1082,Sugarcane,3,5,25,2024-03-20
F1083,Coconut,4,6,26,2024-04-20
F1084,Rice,5,1,15,2024-05-20
F1085,Corn,6,2,16,2024-06-20
F1086,Sugarcane,7,3,17,2024-07-20
F1087,Coconut,8,4,18,2024-08-20
F1088,Rice,9,5,19,2024-09-20
F1089,Corn,10,6,20,2024-10-20
F1090,Sugarcane,2,1,21,2024-01-20
