Date,LME_Warehouse_Inventory,Panamax_Freight_Rate,Copper_Price,Global_EV_Index
2026-01-05,182000,14380,9350,4845
2026-01-06,182518,14419,9378,4853
2026-01-07,183024,14448,9406,4860
2026-01-08,183507,14467,9433,4867
2026-01-09,183956,14477,9387,4873
2026-01-10,184362,14257,9412,4879
2026-01-11,184718,14258,9436,4836
2026-01-12,183478,14258,9459,4842
2026-01-13,183719,14260,9408,4846
2026-01-14,183901,14267,9428,4851
2026-01-15,184024,14056,9446,4856
2026-01-16,184093,14079,9462,4860
2026-01-17,184113,14112,9405,4816
2026-01-18,184093,14156,9418,4821
2026-01-19,182502,14211,9429,4826
2026-01-20,182432,14052,9440,4830
2026-01-21,182352,14127,9377,4836
2026-01-22,182277,14210,9386,4841
2026-01-23,182216,14297,9394,4799
2026-01-24,182182,14387,9402,4805
2026-01-25,182185,14251,9339,4812
2026-01-26,180693,14337,9347,4819
2026-01-27,180793,14418,9356,4827
2026-01-28,180949,14490,9366,4835
2026-01-29,181166,14553,9305,4796
2026-01-30,181442,14380,9317,4805
2026-01-31,181775,14421,9330,4815
2026-02-01,182161,14451,9345,4825
2026-02-02,181053,14471,9290,4836
2026-02-03,181523,14482,9308,4847
2026-02-04,182021,14262,9328,4810
2026-02-05,182535,14264,9350,4821
2026-02-06,183055,14264,9301,4832
2026-02-07,183567,14266,9326,4844
2026-02-08,184061,14272,9351,4856
2026-02-09,121985,14059,9378,4867
2026-02-10,122411,14081,9333,4830
2026-02-11,122788,22313,9361,4842
2026-02-12,184112,22356,9389,4852
2026-02-13,184378,22409,11517,4863
2026-02-14,184584,14049,11472,4873
2026-02-15,184731,14123,11499,4883
2026-02-16,183282,14204,11525,4204
2026-02-17,183322,14291,9450,4213
2026-02-18,183317,14381,9402,4221
2026-02-19,183278,14245,9424,4229
2026-02-20,183214,14332,9445,4876
2026-02-21,183137,14413,9464,4883
2026-02-22,183059,14487,9409,4841
2026-02-23,181450,14551,9425,4847
2026-02-24,181404,14380,9439,4852
2026-02-25,181390,14422,9452,4857
2026-02-26,181418,14453,9391,4862
2026-02-27,181496,14475,9401,4867
2026-02-28,181629,14487,9411,4823
