Meter ID,Feeder,Consumption kWh,Uptime,Losses,Reading Date
M1001,Feeder B,220,0.95,0.03,2024-02-01
M1002,Feeder C,240,0.96,0.04,2024-03-01
M1003,Feeder D,260,0.97,0.05,2024-04-01
M1004,Feeder A,280,0.98,0.06,2024-05-01
M1005,Feeder B,300,0.99,0.07,2024-06-01
M1006,Feeder C,320,0.94,0.08,2024-07-01
M1007,Feeder D,340,0.95,0.02,2024-08-01
M1008,Feeder A,360,0.96,0.03,2024-09-01
M1009,Feeder B,380,0.97,0.04,2024-10-01
M1010,Feeder C,400,0.98,0.05,2024-01-01
M1011,Feeder D,420,0.99,0.06,2024-02-01
M1012,Feeder A,440,0.94,0.07,2024-03-01
M1013,Feeder B,460,0.95,0.08,2024-04-01
M1014,Feeder C,480,0.96,0.02,2024-05-01
M1015,Feeder D,500,0.97,0.03,2024-06-01
M1016,Feeder A,200,0.98,0.04,2024-07-01
M1017,Feeder B,220,0.99,0.05,2024-08-01
M1018,Feeder C,240,0.94,0.06,2024-09-01
M1019,Feeder D,260,0.95,0.07,2024-10-01
M1020,Feeder A,280,0.96,0.08,2024-01-01
M1021,Feeder B,300,0.97,0.02,2024-02-01
M1022,Feeder C,320,0.98,0.03,2024-03-01
M1023,Feeder D,340,0.99,0.04,2024-04-01
M1024,Feeder A,360,0.94,0.05,2024-05-01
M1025,Feeder B,380,0.95,0.06,2024-06-01
M1026,Feeder C,400,0.96,0.07,2024-07-01
M1027,Feeder D,420,0.97,0.08,2024-08-01
M1028,Feeder A,440,0.98,0.02,2024-09-01
M1029,Feeder B,460,0.99,0.03,2024-10-01
M1030,Feeder C,480,0.94,0.04,2024-01-01
M1031,Feeder D,500,0.95,0.05,2024-02-01
M1032,Feeder A,200,0.96,0.06,2024-03-01
M1033,Feeder B,220,0.97,0.07,2024-04-01
M1034,Feeder C,240,0.98,0.08,2024-05-01
M1035,Feeder D,260,0.99,0.02,2024-06-01
M1036,Feeder A,280,0.94,0.03,2024-07-01
M1037,Feeder B,300,0.95,0.04,2024-08-01
M1038,Feeder C,320,0.96,0.05,2024-09-01
M1039,Feeder D,340,0.97,0.06,2024-10-01
M1040,Feeder A,360,0.98,0.07,2024-01-01
M1041,Feeder B,380,0.99,0.08,2024-02-01
M1042,Feeder C,400,0.94,0.02,2024-03-01
M1043,Feeder D,420,0.95,0.03,2024-04-01
M1044,Feeder A,440,0.96,0.04,2024-05-01
M1045,Feeder B,460,0.97,0.05,2024-06-01
M1046,Feeder C,480,0.98,0.06,2024-07-01
M1047,Feeder D,500,0.99,0.07,2024-08-01
M1048,Feeder A,200,0.94,0.08,2024-09-01
M1049,Feeder B,220,0.95,0.02,2024-10-01
M1050,Feeder C,240,0.96,0.03,2024-01-01
M1051,Feeder D,260,0.97,0.04,2024-02-01
M1052,Feeder A,280,0.98,0.05,2024-03-01
M1053,Feeder B,300,0.99,0.06,2024-04-01
M1054,Feeder C,320,0.94,0.07,2024-05-01
M1055,Feeder D,340,0.95,0.08,2024-06-01
M1056,Feeder A,360,0.96,0.02,2024-07-01
M1057,Feeder B,380,0.97,0.03,2024-08-01
M1058,Feeder C,400,0.98,0.04,2024-09-01
M1059,Feeder D,420,0.99,0.05,2024-10-01
M1060,Feeder A,440,0.94,0.06,2024-01-01
M1061,Feeder B,460,0.95,0.07,2024-02-01
M1062,Feeder C,480,0.96,0.08,2024-03-01
M1063,Feeder D,500,0.97,0.02,2024-04-01
M1064,Feeder A,200,0.98,0.03,2024-05-01
M1065,Feeder B,220,0.99,0.04,2024-06-01
M1066,Feeder C,240,0.94,0.05,2024-07-01
M1067,Feeder D,260,0.95,0.06,2024-08-01
M1068,Feeder A,280,0.96,0.07,2024-09-01
M1069,Feeder B,300,0.97,0.08,2024-10-01
M1070,Feeder C,320,0.98,0.02,2024-01-01
M1071,Feeder D,340,0.99,0.03,2024-02-01
M1072,Feeder A,360,0.94,0.04,2024-03-01
M1073,Feeder B,380,0.95,0.05,2024-04-01
M1074,Feeder C,400,0.96,0.06,2024-05-01
M1075,Feeder D,420,0.97,0.07,2024-06-01
M1076,Feeder A,440,0.98,0.08,2024-07-01
M1077,Feeder B,460,0.99,0.02,2024-08-01
M1078,Feeder C,480,0.94,0.03,2024-09-01
M1079,Feeder D,500,0.95,0.04,2024-10-01
M1080,Feeder A,200,0.96,0.05,2024-01-01
M1081,Feeder B,220,0.97,0.06,2024-02-01
M1082,Feeder C,240,0.98,0.07,2024-03-01
M1083,Feeder D,260,0.99,0.08,2024-04-01
M1084,Feeder A,280,0.94,0.02,2024-05-01
M1085,Feeder B,300,0.95,0.03,2024-06-01
M1086,Feeder C,320,0.96,0.04,2024-07-01
M1087,Feeder D,340,0.97,0.05,2024-08-01
M1088,Feeder A,360,0.98,0.06,2024-09-01
M1089,Feeder B,380,0.99,0.07,2024-10-01
M1090,Feeder C,400,0.94,0.08,2024-01-01
