Month,Department,Budget,Actual,Expense
2025-01-01,Sales,75823,72391,49629
2025-01-01,Marketing,99226,107686,73474
2025-01-01,Engineering,92194,107901,61357
2025-01-01,Operations,99842,92191,55161
2025-01-01,Support,99566,86688,56002
2025-02-01,Sales,41815,36596,26291
2025-02-01,Marketing,95441,108168,79537
2025-02-01,Engineering,43823,46730,31496
2025-02-01,Operations,52234,60712,34438
2025-02-01,Support,88164,79455,44241
2025-03-01,Sales,82989,92000,70454
2025-03-01,Marketing,89057,101752,74851
2025-03-01,Engineering,42172,40850,24002
2025-03-01,Operations,79531,78265,48904
2025-03-01,Support,87411,83872,64465
2025-04-01,Sales,73485,67621,45002
2025-04-01,Marketing,74444,74093,46277
2025-04-01,Engineering,90416,95866,61193
2025-04-01,Operations,83047,87648,56959
2025-04-01,Support,74424,69443,39691
2025-05-01,Sales,75477,78026,51784
2025-05-01,Marketing,57700,58171,33152
2025-05-01,Engineering,86271,79440,46088
2025-05-01,Operations,91011,96595,68041
2025-05-01,Support,95933,89893,60238
2025-06-01,Sales,63611,68131,49058
2025-06-01,Marketing,53898,49436,34819
2025-06-01,Engineering,40022,37985,28270
2025-06-01,Operations,85980,86086,55249
2025-06-01,Support,70557,66244,41276
2025-07-01,Sales,90609,85984,60075
2025-07-01,Marketing,43531,50343,36337
2025-07-01,Engineering,66910,60952,46133
2025-07-01,Operations,57290,53136,35271
2025-07-01,Support,86486,84533,46515
2025-08-01,Sales,65268,57953,46225
2025-08-01,Marketing,56661,59586,41605
2025-08-01,Engineering,93924,103540,82170
2025-08-01,Operations,55403,51490,34697
2025-08-01,Support,63659,71628,48467
2025-09-01,Sales,96640,108485,73336
2025-09-01,Marketing,94907,93611,65161
2025-09-01,Engineering,93319,94421,59902
2025-09-01,Operations,84645,98570,75756
2025-09-01,Support,50822,47572,30216
2025-10-01,Sales,42960,38564,27588
2025-10-01,Marketing,88927,82918,57057
2025-10-01,Engineering,57126,52268,36604
2025-10-01,Operations,78569,92008,71578
2025-10-01,Support,54707,59544,34521
2025-11-01,Sales,89401,86456,54292
2025-11-01,Marketing,81602,72527,55206
2025-11-01,Engineering,61311,58030,40794
2025-11-01,Operations,68390,71439,55936
2025-11-01,Support,66971,79957,45462
2025-12-01,Sales,75073,80898,47785
2025-12-01,Marketing,76472,85525,59559
2025-12-01,Engineering,43081,50122,33528
2025-12-01,Operations,66015,75189,55561
2025-12-01,Support,49446,57592,36353
