Booking ID,Room Type,Occupancy,ADR,RevPAR,Check-in Date
B1001,Deluxe,0.51,84,42.84,2024-02-08
B1002,Suite,0.52,93,48.36,2024-03-08
B1003,Villa,0.53,102,54.06,2024-04-08
B1004,Standard,0.54,111,59.94,2024-05-08
B1005,Deluxe,0.55,120,66.0,2024-06-08
B1006,Suite,0.56,129,72.24,2024-07-08
B1007,Villa,0.57,138,78.66,2024-08-08
B1008,Standard,0.58,147,85.26,2024-09-08
B1009,Deluxe,0.59,156,92.04,2024-10-08
B1010,Suite,0.6,165,99.0,2024-01-08
B1011,Villa,0.61,174,106.14,2024-02-08
B1012,Standard,0.62,183,113.46,2024-03-08
B1013,Deluxe,0.63,192,120.96,2024-04-08
B1014,Suite,0.64,75,48.0,2024-05-08
B1015,Villa,0.65,84,54.6,2024-06-08
B1016,Standard,0.66,93,61.38,2024-07-08
B1017,Deluxe,0.67,102,68.34,2024-08-08
B1018,Suite,0.68,111,75.48,2024-09-08
B1019,Villa,0.69,120,82.8,2024-10-08
B1020,Standard,0.7,129,90.3,2024-01-08
B1021,Deluxe,0.71,138,97.98,2024-02-08
B1022,Suite,0.72,147,105.84,2024-03-08
B1023,Villa,0.73,156,113.88,2024-04-08
B1024,Standard,0.74,165,122.1,2024-05-08
B1025,Deluxe,0.75,174,130.5,2024-06-08
B1026,Suite,0.76,183,139.08,2024-07-08
B1027,Villa,0.77,192,147.84,2024-08-08
B1028,Standard,0.78,75,58.5,2024-09-08
B1029,Deluxe,0.79,84,66.36,2024-10-08
B1030,Suite,0.5,93,46.5,2024-01-08
B1031,Villa,0.51,102,52.02,2024-02-08
B1032,Standard,0.52,111,57.72,2024-03-08
B1033,Deluxe,0.53,120,63.6,2024-04-08
B1034,Suite,0.54,129,69.66,2024-05-08
B1035,Villa,0.55,138,75.9,2024-06-08
B1036,Standard,0.56,147,82.32,2024-07-08
B1037,Deluxe,0.57,156,88.92,2024-08-08
B1038,Suite,0.58,165,95.7,2024-09-08
B1039,Villa,0.59,174,102.66,2024-10-08
B1040,Standard,0.6,183,109.8,2024-01-08
B1041,Deluxe,0.61,192,117.12,2024-02-08
B1042,Suite,0.62,75,46.5,2024-03-08
B1043,Villa,0.63,84,52.92,2024-04-08
B1044,Standard,0.64,93,59.52,2024-05-08
B1045,Deluxe,0.65,102,66.3,2024-06-08
B1046,Suite,0.66,111,73.26,2024-07-08
B1047,Villa,0.67,120,80.4,2024-08-08
B1048,Standard,0.68,129,87.72,2024-09-08
B1049,Deluxe,0.69,138,95.22,2024-10-08
B1050,Suite,0.7,147,102.9,2024-01-08
B1051,Villa,0.71,156,110.76,2024-02-08
B1052,Standard,0.72,165,118.8,2024-03-08
B1053,Deluxe,0.73,174,127.02,2024-04-08
B1054,Suite,0.74,183,135.42,2024-05-08
B1055,Villa,0.75,192,144.0,2024-06-08
B1056,Standard,0.76,75,57.0,2024-07-08
B1057,Deluxe,0.77,84,64.68,2024-08-08
B1058,Suite,0.78,93,72.54,2024-09-08
B1059,Villa,0.79,102,80.58,2024-10-08
B1060,Standard,0.5,111,55.5,2024-01-08
B1061,Deluxe,0.51,120,61.2,2024-02-08
B1062,Suite,0.52,129,67.08,2024-03-08
B1063,Villa,0.53,138,73.14,2024-04-08
B1064,Standard,0.54,147,79.38,2024-05-08
B1065,Deluxe,0.55,156,85.8,2024-06-08
B1066,Suite,0.56,165,92.4,2024-07-08
B1067,Villa,0.57,174,99.18,2024-08-08
B1068,Standard,0.58,183,106.14,2024-09-08
B1069,Deluxe,0.59,192,113.28,2024-10-08
B1070,Suite,0.6,75,45.0,2024-01-08
B1071,Villa,0.61,84,51.24,2024-02-08
B1072,Standard,0.62,93,57.66,2024-03-08
B1073,Deluxe,0.63,102,64.26,2024-04-08
B1074,Suite,0.64,111,71.04,2024-05-08
B1075,Villa,0.65,120,78.0,2024-06-08
B1076,Standard,0.66,129,85.14,2024-07-08
B1077,Deluxe,0.67,138,92.46,2024-08-08
B1078,Suite,0.68,147,99.96,2024-09-08
B1079,Villa,0.69,156,107.64,2024-10-08
B1080,Standard,0.7,165,115.5,2024-01-08
B1081,Deluxe,0.71,174,123.54,2024-02-08
B1082,Suite,0.72,183,131.76,2024-03-08
B1083,Villa,0.73,192,140.16,2024-04-08
B1084,Standard,0.74,75,55.5,2024-05-08
B1085,Deluxe,0.75,84,63.0,2024-06-08
B1086,Suite,0.76,93,70.68,2024-07-08
B1087,Villa,0.77,102,78.54,2024-08-08
B1088,Standard,0.78,111,86.58,2024-09-08
B1089,Deluxe,0.79,120,94.8,2024-10-08
B1090,Suite,0.5,129,64.5,2024-01-08
