Employee ID,Department,Attrition Rate,Tenure,Salary,Hire Date
E1001,Sales,0.05,2,50500,2020-02-01
E1002,Support,0.06,3,53000,2020-03-01
E1003,Marketing,0.07,4,55500,2020-04-01
E1004,Operations,0.08,5,58000,2020-05-01
E1005,Engineering,0.09,6,60500,2020-06-01
E1006,Sales,0.1,7,63000,2020-07-01
E1007,Support,0.11,8,65500,2020-08-01
E1008,Marketing,0.12,9,68000,2020-09-01
E1009,Operations,0.13,1,70500,2020-10-01
E1010,Engineering,0.14,2,73000,2020-01-01
E1011,Sales,0.15,3,75500,2020-02-01
E1012,Support,0.04,4,78000,2020-03-01
E1013,Marketing,0.05,5,80500,2020-04-01
E1014,Operations,0.06,6,83000,2020-05-01
E1015,Engineering,0.07,7,85500,2020-06-01
E1016,Sales,0.08,8,88000,2020-07-01
E1017,Support,0.09,9,90500,2020-08-01
E1018,Marketing,0.1,1,93000,2020-09-01
E1019,Operations,0.11,2,95500,2020-10-01
E1020,Engineering,0.12,3,98000,2020-01-01
E1021,Sales,0.13,4,100500,2020-02-01
E1022,Support,0.14,5,48000,2020-03-01
E1023,Marketing,0.15,6,50500,2020-04-01
E1024,Operations,0.04,7,53000,2020-05-01
E1025,Engineering,0.05,8,55500,2020-06-01
E1026,Sales,0.06,9,58000,2020-07-01
E1027,Support,0.07,1,60500,2020-08-01
E1028,Marketing,0.08,2,63000,2020-09-01
E1029,Operations,0.09,3,65500,2020-10-01
E1030,Engineering,0.1,4,68000,2020-01-01
E1031,Sales,0.11,5,70500,2020-02-01
E1032,Support,0.12,6,73000,2020-03-01
E1033,Marketing,0.13,7,75500,2020-04-01
E1034,Operations,0.14,8,78000,2020-05-01
E1035,Engineering,0.15,9,80500,2020-06-01
E1036,Sales,0.04,1,83000,2020-07-01
E1037,Support,0.05,2,85500,2020-08-01
E1038,Marketing,0.06,3,88000,2020-09-01
E1039,Operations,0.07,4,90500,2020-10-01
E1040,Engineering,0.08,5,93000,2020-01-01
E1041,Sales,0.09,6,95500,2020-02-01
E1042,Support,0.1,7,98000,2020-03-01
E1043,Marketing,0.11,8,100500,2020-04-01
E1044,Operations,0.12,9,48000,2020-05-01
E1045,Engineering,0.13,1,50500,2020-06-01
E1046,Sales,0.14,2,53000,2020-07-01
E1047,Support,0.15,3,55500,2020-08-01
E1048,Marketing,0.04,4,58000,2020-09-01
E1049,Operations,0.05,5,60500,2020-10-01
E1050,Engineering,0.06,6,63000,2020-01-01
E1051,Sales,0.07,7,65500,2020-02-01
E1052,Support,0.08,8,68000,2020-03-01
E1053,Marketing,0.09,9,70500,2020-04-01
E1054,Operations,0.1,1,73000,2020-05-01
E1055,Engineering,0.11,2,75500,2020-06-01
E1056,Sales,0.12,3,78000,2020-07-01
E1057,Support,0.13,4,80500,2020-08-01
E1058,Marketing,0.14,5,83000,2020-09-01
E1059,Operations,0.15,6,85500,2020-10-01
E1060,Engineering,0.04,7,88000,2020-01-01
E1061,Sales,0.05,8,90500,2020-02-01
E1062,Support,0.06,9,93000,2020-03-01
E1063,Marketing,0.07,1,95500,2020-04-01
E1064,Operations,0.08,2,98000,2020-05-01
E1065,Engineering,0.09,3,100500,2020-06-01
E1066,Sales,0.1,4,48000,2020-07-01
E1067,Support,0.11,5,50500,2020-08-01
E1068,Marketing,0.12,6,53000,2020-09-01
E1069,Operations,0.13,7,55500,2020-10-01
E1070,Engineering,0.14,8,58000,2020-01-01
E1071,Sales,0.15,9,60500,2020-02-01
E1072,Support,0.04,1,63000,2020-03-01
E1073,Marketing,0.05,2,65500,2020-04-01
E1074,Operations,0.06,3,68000,2020-05-01
E1075,Engineering,0.07,4,70500,2020-06-01
E1076,Sales,0.08,5,73000,2020-07-01
E1077,Support,0.09,6,75500,2020-08-01
E1078,Marketing,0.1,7,78000,2020-09-01
E1079,Operations,0.11,8,80500,2020-10-01
E1080,Engineering,0.12,9,83000,2020-01-01
E1081,Sales,0.13,1,85500,2020-02-01
E1082,Support,0.14,2,88000,2020-03-01
E1083,Marketing,0.15,3,90500,2020-04-01
E1084,Operations,0.04,4,93000,2020-05-01
E1085,Engineering,0.05,5,95500,2020-06-01
E1086,Sales,0.06,6,98000,2020-07-01
E1087,Support,0.07,7,100500,2020-08-01
E1088,Marketing,0.08,8,48000,2020-09-01
E1089,Operations,0.09,9,50500,2020-10-01
E1090,Engineering,0.1,1,53000,2020-01-01
