Shipment ID,Carrier,Warehouse,On-Time Rate,Lead Time,Ship Date
SH1001,ExpressLine,South Hub,0.83,3,2024-02-10
SH1002,CargoPro,East Hub,0.84,4,2024-03-10
SH1003,ShipRight,West Hub,0.85,5,2024-04-10
SH1004,FastFreight,North Hub,0.86,6,2024-05-10
SH1005,ExpressLine,South Hub,0.87,7,2024-06-10
SH1006,CargoPro,East Hub,0.88,8,2024-07-10
SH1007,ShipRight,West Hub,0.89,2,2024-08-10
SH1008,FastFreight,North Hub,0.9,3,2024-09-10
SH1009,ExpressLine,South Hub,0.91,4,2024-10-10
SH1010,CargoPro,East Hub,0.92,5,2024-01-10
SH1011,ShipRight,West Hub,0.93,6,2024-02-10
SH1012,FastFreight,North Hub,0.94,7,2024-03-10
SH1013,ExpressLine,South Hub,0.95,8,2024-04-10
SH1014,CargoPro,East Hub,0.96,2,2024-05-10
SH1015,ShipRight,West Hub,0.97,3,2024-06-10
SH1016,FastFreight,North Hub,0.98,4,2024-07-10
SH1017,ExpressLine,South Hub,0.82,5,2024-08-10
SH1018,CargoPro,East Hub,0.83,6,2024-09-10
SH1019,ShipRight,West Hub,0.84,7,2024-10-10
SH1020,FastFreight,North Hub,0.85,8,2024-01-10
SH1021,ExpressLine,South Hub,0.86,2,2024-02-10
SH1022,CargoPro,East Hub,0.87,3,2024-03-10
SH1023,ShipRight,West Hub,0.88,4,2024-04-10
SH1024,FastFreight,North Hub,0.89,5,2024-05-10
SH1025,ExpressLine,South Hub,0.9,6,2024-06-10
SH1026,CargoPro,East Hub,0.91,7,2024-07-10
SH1027,ShipRight,West Hub,0.92,8,2024-08-10
SH1028,FastFreight,North Hub,0.93,2,2024-09-10
SH1029,ExpressLine,South Hub,0.94,3,2024-10-10
SH1030,CargoPro,East Hub,0.95,4,2024-01-10
SH1031,ShipRight,West Hub,0.96,5,2024-02-10
SH1032,FastFreight,North Hub,0.97,6,2024-03-10
SH1033,ExpressLine,South Hub,0.98,7,2024-04-10
SH1034,CargoPro,East Hub,0.82,8,2024-05-10
SH1035,ShipRight,West Hub,0.83,2,2024-06-10
SH1036,FastFreight,North Hub,0.84,3,2024-07-10
SH1037,ExpressLine,South Hub,0.85,4,2024-08-10
SH1038,CargoPro,East Hub,0.86,5,2024-09-10
SH1039,ShipRight,West Hub,0.87,6,2024-10-10
SH1040,FastFreight,North Hub,0.88,7,2024-01-10
SH1041,ExpressLine,South Hub,0.89,8,2024-02-10
SH1042,CargoPro,East Hub,0.9,2,2024-03-10
SH1043,ShipRight,West Hub,0.91,3,2024-04-10
SH1044,FastFreight,North Hub,0.92,4,2024-05-10
SH1045,ExpressLine,South Hub,0.93,5,2024-06-10
SH1046,CargoPro,East Hub,0.94,6,2024-07-10
SH1047,ShipRight,West Hub,0.95,7,2024-08-10
SH1048,FastFreight,North Hub,0.96,8,2024-09-10
SH1049,ExpressLine,South Hub,0.97,2,2024-10-10
SH1050,CargoPro,East Hub,0.98,3,2024-01-10
SH1051,ShipRight,West Hub,0.82,4,2024-02-10
SH1052,FastFreight,North Hub,0.83,5,2024-03-10
SH1053,ExpressLine,South Hub,0.84,6,2024-04-10
SH1054,CargoPro,East Hub,0.85,7,2024-05-10
SH1055,ShipRight,West Hub,0.86,8,2024-06-10
SH1056,FastFreight,North Hub,0.87,2,2024-07-10
SH1057,ExpressLine,South Hub,0.88,3,2024-08-10
SH1058,CargoPro,East Hub,0.89,4,2024-09-10
SH1059,ShipRight,West Hub,0.9,5,2024-10-10
SH1060,FastFreight,North Hub,0.91,6,2024-01-10
SH1061,ExpressLine,South Hub,0.92,7,2024-02-10
SH1062,CargoPro,East Hub,0.93,8,2024-03-10
SH1063,ShipRight,West Hub,0.94,2,2024-04-10
SH1064,FastFreight,North Hub,0.95,3,2024-05-10
SH1065,ExpressLine,South Hub,0.96,4,2024-06-10
SH1066,CargoPro,East Hub,0.97,5,2024-07-10
SH1067,ShipRight,West Hub,0.98,6,2024-08-10
SH1068,FastFreight,North Hub,0.82,7,2024-09-10
SH1069,ExpressLine,South Hub,0.83,8,2024-10-10
SH1070,CargoPro,East Hub,0.84,2,2024-01-10
SH1071,ShipRight,West Hub,0.85,3,2024-02-10
SH1072,FastFreight,North Hub,0.86,4,2024-03-10
SH1073,ExpressLine,South Hub,0.87,5,2024-04-10
SH1074,CargoPro,East Hub,0.88,6,2024-05-10
SH1075,ShipRight,West Hub,0.89,7,2024-06-10
SH1076,FastFreight,North Hub,0.9,8,2024-07-10
SH1077,ExpressLine,South Hub,0.91,2,2024-08-10
SH1078,CargoPro,East Hub,0.92,3,2024-09-10
SH1079,ShipRight,West Hub,0.93,4,2024-10-10
SH1080,FastFreight,North Hub,0.94,5,2024-01-10
SH1081,ExpressLine,South Hub,0.95,6,2024-02-10
SH1082,CargoPro,East Hub,0.96,7,2024-03-10
SH1083,ShipRight,West Hub,0.97,8,2024-04-10
SH1084,FastFreight,North Hub,0.98,2,2024-05-10
SH1085,ExpressLine,South Hub,0.82,3,2024-06-10
SH1086,CargoPro,East Hub,0.83,4,2024-07-10
SH1087,ShipRight,West Hub,0.84,5,2024-08-10
SH1088,FastFreight,North Hub,0.85,6,2024-09-10
SH1089,ExpressLine,South Hub,0.86,7,2024-10-10
SH1090,CargoPro,East Hub,0.87,8,2024-01-10
