Property ID,Property Type,Occupancy Rate,Price,Rent,Listing Date
P1001,Apartment,0.73,1910000,15200,2024-02-12
P1002,Townhouse,0.74,2020000,16400,2024-03-12
P1003,Single-Family,0.75,2130000,17600,2024-04-12
P1004,Condo,0.76,2240000,18800,2024-05-12
P1005,Apartment,0.77,2350000,20000,2024-06-12
P1006,Townhouse,0.78,2460000,21200,2024-07-12
P1007,Single-Family,0.79,2570000,22400,2024-08-12
P1008,Condo,0.8,2680000,23600,2024-09-12
P1009,Apartment,0.81,2790000,24800,2024-10-12
P1010,Townhouse,0.82,2900000,26000,2024-01-12
P1011,Single-Family,0.83,3010000,27200,2024-02-12
P1012,Condo,0.84,3120000,14000,2024-03-12
P1013,Apartment,0.85,3230000,15200,2024-04-12
P1014,Townhouse,0.86,3340000,16400,2024-05-12
P1015,Single-Family,0.87,3450000,17600,2024-06-12
P1016,Condo,0.88,3560000,18800,2024-07-12
P1017,Apartment,0.89,3670000,20000,2024-08-12
P1018,Townhouse,0.9,1800000,21200,2024-09-12
P1019,Single-Family,0.91,1910000,22400,2024-10-12
P1020,Condo,0.92,2020000,23600,2024-01-12
P1021,Apartment,0.93,2130000,24800,2024-02-12
P1022,Townhouse,0.72,2240000,26000,2024-03-12
P1023,Single-Family,0.73,2350000,27200,2024-04-12
P1024,Condo,0.74,2460000,14000,2024-05-12
P1025,Apartment,0.75,2570000,15200,2024-06-12
P1026,Townhouse,0.76,2680000,16400,2024-07-12
P1027,Single-Family,0.77,2790000,17600,2024-08-12
P1028,Condo,0.78,2900000,18800,2024-09-12
P1029,Apartment,0.79,3010000,20000,2024-10-12
P1030,Townhouse,0.8,3120000,21200,2024-01-12
P1031,Single-Family,0.81,3230000,22400,2024-02-12
P1032,Condo,0.82,3340000,23600,2024-03-12
P1033,Apartment,0.83,3450000,24800,2024-04-12
P1034,Townhouse,0.84,3560000,26000,2024-05-12
P1035,Single-Family,0.85,3670000,27200,2024-06-12
P1036,Condo,0.86,1800000,14000,2024-07-12
P1037,Apartment,0.87,1910000,15200,2024-08-12
P1038,Townhouse,0.88,2020000,16400,2024-09-12
P1039,Single-Family,0.89,2130000,17600,2024-10-12
P1040,Condo,0.9,2240000,18800,2024-01-12
P1041,Apartment,0.91,2350000,20000,2024-02-12
P1042,Townhouse,0.92,2460000,21200,2024-03-12
P1043,Single-Family,0.93,2570000,22400,2024-04-12
P1044,Condo,0.72,2680000,23600,2024-05-12
P1045,Apartment,0.73,2790000,24800,2024-06-12
P1046,Townhouse,0.74,2900000,26000,2024-07-12
P1047,Single-Family,0.75,3010000,27200,2024-08-12
P1048,Condo,0.76,3120000,14000,2024-09-12
P1049,Apartment,0.77,3230000,15200,2024-10-12
P1050,Townhouse,0.78,3340000,16400,2024-01-12
P1051,Single-Family,0.79,3450000,17600,2024-02-12
P1052,Condo,0.8,3560000,18800,2024-03-12
P1053,Apartment,0.81,3670000,20000,2024-04-12
P1054,Townhouse,0.82,1800000,21200,2024-05-12
P1055,Single-Family,0.83,1910000,22400,2024-06-12
P1056,Condo,0.84,2020000,23600,2024-07-12
P1057,Apartment,0.85,2130000,24800,2024-08-12
P1058,Townhouse,0.86,2240000,26000,2024-09-12
P1059,Single-Family,0.87,2350000,27200,2024-10-12
P1060,Condo,0.88,2460000,14000,2024-01-12
P1061,Apartment,0.89,2570000,15200,2024-02-12
P1062,Townhouse,0.9,2680000,16400,2024-03-12
P1063,Single-Family,0.91,2790000,17600,2024-04-12
P1064,Condo,0.92,2900000,18800,2024-05-12
P1065,Apartment,0.93,3010000,20000,2024-06-12
P1066,Townhouse,0.72,3120000,21200,2024-07-12
P1067,Single-Family,0.73,3230000,22400,2024-08-12
P1068,Condo,0.74,3340000,23600,2024-09-12
P1069,Apartment,0.75,3450000,24800,2024-10-12
P1070,Townhouse,0.76,3560000,26000,2024-01-12
P1071,Single-Family,0.77,3670000,27200,2024-02-12
P1072,Condo,0.78,1800000,14000,2024-03-12
P1073,Apartment,0.79,1910000,15200,2024-04-12
P1074,Townhouse,0.8,2020000,16400,2024-05-12
P1075,Single-Family,0.81,2130000,17600,2024-06-12
P1076,Condo,0.82,2240000,18800,2024-07-12
P1077,Apartment,0.83,2350000,20000,2024-08-12
P1078,Townhouse,0.84,2460000,21200,2024-09-12
P1079,Single-Family,0.85,2570000,22400,2024-10-12
P1080,Condo,0.86,2680000,23600,2024-01-12
P1081,Apartment,0.87,2790000,24800,2024-02-12
P1082,Townhouse,0.88,2900000,26000,2024-03-12
P1083,Single-Family,0.89,3010000,27200,2024-04-12
P1084,Condo,0.9,3120000,14000,2024-05-12
P1085,Apartment,0.91,3230000,15200,2024-06-12
P1086,Townhouse,0.92,3340000,16400,2024-07-12
P1087,Single-Family,0.93,3450000,17600,2024-08-12
P1088,Condo,0.72,3560000,18800,2024-09-12
P1089,Apartment,0.73,3670000,20000,2024-10-12
P1090,Townhouse,0.74,1800000,21200,2024-01-12
